CompanyName,Title
Salesforce,"Tableau Analyst, TAM"
Salesforce,Technical Support Engineer
Tata Consultancy Services,Salesforce - LWC Knowledge 
Salesforce,Enablement Business Partner (EBP) - Solutions
Salesforce,"Manager, Technical Support Engineering-Tableau"
Salesforce,"Manager, Technical Support Engineering"
Salesforce,Technical Success Architect - Slack
Salesforce,Manager Technical Support (Sales Cloud)
Salesforce,Lead/Principal Solution Engineer
Salesforce,Senior Technical support engineer
Salesforce,"Manager, Technical Consulting"
Salesforce,"Manager, Technical Consulting"
Consus Global,Salesforce Developer
engatica,Salesforce Administrator
Mobile Programming LLC,Business Analyst
K20s - Kinetic Technologies Private Limited ,Senior Salesforce Developer
Evnek,Salesforce Community Cloud Developer
Verizon,Salesforce Developer
Worldline,Business Analyst
Snowflake,Customer Care Representative
