Title,TagsAndSkills,Company,Currency,Salary,Location,Experience,JdURl,Jobdescription,CreatedAt
"Salesforce Dev Support Engineer, Service Cloud","salesforce developer,Salesforce Lightning,Lwc,Dev,SOAP,Service Cloud,Lightning Components,Web technologies",Salesforce,INR,Not disclosed,Hyderabad,2-6 Yrs,/job-listings-salesforce-dev-support-engineer-service-cloud-salesforce-hyderabad-secunderabad-telangana-2-to-6-years-130623010046,Lightning Experience - Lighting Web Components & Aura <br><br>Manage customers expectations and experience in a way that results in high customer satisfaction,13/6/2023
Software Engineer - Salesforce,"Salesforce.com,Management,Development,Software development life cycle,Software development,Life cycle,GIT,Software",Community Brands Software Development Solutions,INR,Not disclosed,Pune,3-5 Yrs,/job-listings-software-engineer-salesforce-community-brands-software-development-solutions-i-pune-3-to-5-years-130623909454,"From creating and managing a stellar membership experience to processing orders,managing events,and analysing your organization s data,Nimble AMS helps your entire team get the job done<br><br>Certifications: Good to have Salesforce.com Admin Certified and Developer Certified<br><br>Custom development experience in Force.com (Apex,visual force),Batch Apex and Schedule apex",13/6/2023
Salesforce Developer,"Salesforce Platform,Advologix,Apex,Salesforce,Visualforce,Javascript,Development,Sales force development",Vacancieshub Hrm Solutions,INR,4-9 Lacs PA,"Ernakulam, Kerala, Kochi",2-6 Yrs,/job-listings-salesforce-developer-vacancieshub-hrm-solutions-kochi-cochin-kerala-ernakulam-kerala-2-to-6-years-130623009407,"Exp working as Salesforce Platform Developer. Exp implementing & developing in Apex, Visualforce & Javascript. Knowledge in AdvoLogix. Developing customized solutions within the Salesforce platform. Troubleshooting and fixing bugs.Designing, coding & implementing Salesforce applications. Maintaining the security & integrity of the application software.

Advantage
Salesforce Certifications",13/6/2023
Urgent opening For WIndows Server Admin For Hyd Location,"o365,Azure,Active Directory,Windows Server Administration,Windows administration,Directory,Administration,Serv",OSI Digital,INR,Not disclosed,Hyderabad,6-10 Yrs,/job-listings-urgent-opening-for-windows-server-admin-for-hyd-location-osi-digital-hyderabad-secunderabad-telangana-6-to-10-years-130623009390,"<p> </p><p><strong>Windows Server Administrator (Associate Lead)</strong></p><p>Experience: 6-10 Years</p><p>Job Location  Hyderabad</p><p><strong>OSI Digital</strong> is looking for a Windows Server Administrator who must have in-depth knowledge of Windows Infra, O365/Azure deployment, On-Prem Exchange and maintenance, diverse technical skills, and the ability to solve complex IT issues to ensure the smooth running of the companys core Windows systems, while maintaining a high level of security. Upon Success in this role, the person will have an opportunity to grow into a Sr. Associate Lead, Lead role and explore new technologies and tools.</p><p><strong>Responsibilities:</strong></p><ul><li>Responsible for the analysis, administration and support of      Exchange, O365, Azure and Windows Servers.</li><li>Diagnoses and troubleshoots problems with Windows Servers      within established procedures, responds to End User requests for technical      support and assistance.</li><li>Works in ticketing system to solve day-to-day technical      requests & escalated issues.</li><li>Coordinate any application changes with stakeholders within      the framework of a Change Request system and Review process.</li><li>Ability to research solutions to complex issues and resolve      them.</li><li>Interfaces with vendors and other IT Groups to ensure appropriate      resolution during network outages or periods of reduced performance.</li></ul><p><strong>Required Skills:</strong></p><ul><li>Hands on experience working on Windows OS (2003, 2008R2,      2012R2, 2016, 2019) server operating Systems.</li><li>Microsoft Infrastructure ( Active Directory, AD sites and      Services, GPOs, Domain Trust, DNS, DHCP, File and Print Servers, DFS,      IIS, Hyper-V).</li><li>Should have good hands on experience on Office 365      (SharePoint/OneDrive/Exchange Online) and Exchange 2010/2013.</li><li>Knowledge on Patch management (WSUS/SCCM/MECM).</li><li>Knowledge on Microsoft Azure (PAAS / IAAS).</li></ul><p><strong>We are not looking for someone who:</strong></p><ul><li>Is not willing to work from Office</li><li>Is not willing to be part of 24/7 shift Schedule</li><li>Never worked in the Managed Services / Support Environment</li><li>Never worked with International Clients and conducted or managed review meetings.</li></ul><br /><p>About OSI Digital</p><p>OSI Digital was founded in 1993, in California and now has offices in the US, Canada, India, Philippines, Dubai, and Australia. Our client base ranges from start-ups to Fortune 500 corporations, including Barnes & Noble College, Hyundai, Toyota, Gilead, Allergan, Yamaha, Gap, and Skechers. OSI Digital has developed strong partner alliances with leading technology providers such as Salesforce, Boomi, Tableau, Oracle, Microsoft, and Amazon Web Services.</p>",13/6/2023
Senior Staff Engineer (Oracle CPQ),"Oracle CPQ,Cpq,SOAP,Integration,Senior,Salesforce Integration,Oracle,Python",Nagarro,INR,Not disclosed,Remote,7-10 Yrs,/job-listings-senior-staff-engineer-oracle-cpq-nagarro-india-7-to-10-years-130623009360,"Minimum 4 years experience with Integrations Architecture experience <br><br>Experience / knowledge of BMI Configuration,Commerce Document Engine,and Big Machines Language (BML) <br><br>Experience in jQuery,HTML / XHTML,XML,Java,JavaScript,Python,XSLT,XPATH,CSS stylesheet,HTTP,AJAX,SOAP-based web services <br><br>Experience with Oracle CPQ / Salesforce integration",13/6/2023
Salesforce Developer,"Salesforce Developer,LWC,Triggers,Aura,Apex,Development,Flow,Sales force development",Caprus It,INR,Not disclosed,"Chennai, Hyderabad",5-10 Yrs,/job-listings-salesforce-developer-caprus-it-hyderabad-secunderabad-chennai-5-to-10-years-130623008379,"Hands-on development experience using Salesforce configuration and customizations using Apex,Visualforce,Triggers,Scheduled and Batch classes,etc<br><br>Demonstrated deep technical knowledge with a minimum of 5 years experience working with: Force.com developer toolkit - Apex,LWC,Aura Components,Visualforce,Lightning,Force.com IDE,Force.com Migration Tool,Web Services / SOA & Metadata APIs",13/6/2023
Tech Lead - Salesforce(E-Commerce),"Software Architecture Design,TEACH LEAD,Salesforce,HTML,Sales,Architecture,SAAS Sales,Development",V3 Staffing,INR,Not disclosed,Hybrid - Hyderabad,8-13 Yrs,/job-listings-tech-lead-salesforce-e-commerce-v3-staffing-hyderabad-secunderabad-telangana-8-to-13-years-130623008794,"Qualifications:  Bachelors degree in Computer Science or a related field<br><br>The candidate should have a strong background in Salesforce B2C Commerce Cloud,software<br><br>A minimum of 8 years of experience in software architecture,with at least 3 years in an e-<br><br>IaaS knowledge,specifically Google Cloud (desired,but not required)<br><br>Experience with agile working processes",13/6/2023
SAP SD & SFDC Consultant | K Raheja Corp,"sfdc,sap sd,SAP SD consultant,SAP,CRM,Saps,Apex,Consulting",K Raheja Corp,INR,Not disclosed,Navi Mumbai,10-12 Yrs,/job-listings-sap-sd-sfdc-consultant-k-raheja-corp-k-raheja-corp-navi-mumbai-10-to-12-years-070423006851,"Should have extensive experience on SAP SD Module,including implementation and support<br><br>Implement system integration requirements related to client / 3rd party applications as required <br><br>Should have exposure in standard Salesforce CRM functionality and features: Sales,Services & Marketing clouds <br><br>Experience with APIs and Web Services",13/6/2023
Salesforce Data Architect / Data Consultant,"Salesforce,Data Integration,Process,Architecture,ETL,Integration,Consulting,Data",AWC Software,INR,18-25 Lacs PA,"Hybrid - Bengaluru, Greater Noida, Hyderabad",5-10 Yrs,/job-listings-salesforce-data-architect-data-consultant-awc-software-hyderabad-secunderabad-telangana-bangalore-bengaluru-karnataka-greater-noida-uttar-pradesh-5-to-10-years-130623008663,"Experience with data integrations . <br><br>Experience with Data Hierarchy . Review data requests,data analysis,and transformation . Review any data-related user stories and translate that into technical solutions,<br><br>Data mapping . Strong understanding and experience with ETL processes",13/6/2023
Test Analyst,"Regression Testing,System Integration Testing,Status Reports,kronos,Software testing,Reporting,System integration,API",Techstar Group,INR,Not disclosed,"Hybrid - Trivandrum, Hyderabad",5-10 Yrs,/job-listings-test-analyst-techstar-group-hyderabad-secunderabad-trivandrum-thiruvananthapuram-kerala-5-to-10-years-300523004051,Experience:- 5 + Years . <br><br>of Experience:- 7 Years. <br><br>of experience:- 5 Years,13/6/2023
